ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.50	192.168.1.40	7407	2.197672000
192.168.1.50	192.168.1.40	7408	2.197684000
192.168.1.50	192.168.1.40	7454	2.203230000
192.168.1.50	192.168.1.40	7605	2.222170000
192.168.1.50	192.168.1.40	7606	2.222186000
192.168.1.50	192.168.1.40	7722	2.232628000
192.168.1.50	192.168.1.40	7725	2.232767000
192.168.1.50	192.168.1.40	7922	2.258346000
192.168.1.50	192.168.1.40	8037	2.268552000
192.168.1.50	192.168.1.40	8071	2.273095000
192.168.1.50	192.168.1.40	8103	2.278518000
192.168.1.50	192.168.1.40	8261	2.298153000
192.168.1.50	192.168.1.40	8271	2.298536000
192.168.1.50	192.168.1.40	8414	2.312985000
192.168.1.50	192.168.1.40	8422	2.313191000
192.168.1.50	192.168.1.40	8589	2.333278000
192.168.1.50	192.168.1.40	8769	2.354176000
192.168.1.50	192.168.1.40	8770	2.354180000
192.168.1.50	192.168.1.40	8807	2.359232000
192.168.1.50	192.168.1.40	8955	2.379116000
192.168.1.50	192.168.1.40	8992	2.383566000
192.168.1.50	192.168.1.40	9115	2.394369000
192.168.1.50	192.168.1.40	9146	2.398838000
192.168.1.50	192.168.1.40	9226	2.408833000
192.168.1.50	192.168.1.40	9387	2.425107000
192.168.1.50	192.168.1.40	9388	2.425112000
192.168.1.50	192.168.1.40	9425	2.429039000
192.168.1.50	192.168.1.40	9668	2.459569000
192.168.1.50	192.168.1.40	9732	2.464180000
192.168.1.50	192.168.1.40	9849	2.479234000
192.168.1.50	192.168.1.40	9850	2.479240000
192.168.1.50	192.168.1.40	9896	2.485427000
192.168.1.50	192.168.1.40	10087	2.505674000
192.168.1.50	192.168.1.40	10088	2.505680000
192.168.1.50	192.168.1.40	10135	2.509589000
192.168.1.50	192.168.1.40	10292	2.529852000
192.168.1.50	192.168.1.40	10293	2.529857000
192.168.1.50	192.168.1.40	10575	2.559976000
192.168.1.50	192.168.1.40	10580	2.560156000
192.168.1.50	192.168.1.40	10590	2.560561000
192.168.1.50	192.168.1.40	10805	2.589998000
192.168.1.50	192.168.1.40	10807	2.590009000
192.168.1.50	192.168.1.40	10811	2.590300000
192.168.1.50	192.168.1.40	10989	2.610666000
192.168.1.50	192.168.1.40	10990	2.610673000
192.168.1.50	192.168.1.40	11153	2.641057000
192.168.1.50	192.168.1.40	11207	2.651350000
192.168.1.50	192.168.1.40	11209	2.651514000
192.168.1.50	192.168.1.40	11242	2.655793000
192.168.1.50	192.168.1.40	11243	2.655797000
192.168.1.50	192.168.1.40	11260	2.661845000
192.168.1.50	192.168.1.40	11342	2.681205000
192.168.1.50	192.168.1.40	11343	2.681211000
192.168.1.50	192.168.1.40	11348	2.686072000
192.168.1.50	192.168.1.40	11473	2.716259000
192.168.1.50	192.168.1.40	11494	2.721421000
192.168.1.50	192.168.1.40	11495	2.722068000
192.168.1.50	192.168.1.40	11496	2.722072000
192.168.1.50	192.168.1.40	11497	2.722271000
192.168.1.50	192.168.1.40	11591	2.741272000
192.168.1.50	192.168.1.40	11592	2.741502000
192.168.1.50	192.168.1.40	11593	2.742095000
192.168.1.50	192.168.1.40	11705	2.777099000
192.168.1.50	192.168.1.40	11706	2.777104000
192.168.1.50	192.168.1.40	11707	2.777349000
192.168.1.50	192.168.1.40	11750	2.786516000
192.168.1.50	192.168.1.40	11751	2.786520000
192.168.1.50	192.168.1.40	11808	2.796676000
192.168.1.50	192.168.1.40	11852	2.806654000
192.168.1.50	192.168.1.40	11853	2.806798000
192.168.1.50	192.168.1.40	11901	2.816877000
192.168.1.50	192.168.1.40	11902	2.816881000
192.168.1.50	192.168.1.40	11903	2.817123000
192.168.1.50	192.168.1.40	12051	2.852741000
192.168.1.50	192.168.1.40	12136	2.877668000
192.168.1.50	192.168.1.40	12137	2.877867000
192.168.1.50	192.168.1.40	12138	2.877871000
192.168.1.50	192.168.1.40	12139	2.878101000
192.168.1.50	192.168.1.40	12143	2.883948000
192.168.1.50	192.168.1.40	12144	2.883953000
192.168.1.50	192.168.1.40	12149	2.887501000
192.168.1.50	192.168.1.40	12274	2.918514000
192.168.1.50	192.168.1.40	12361	2.938355000
192.168.1.50	192.168.1.40	12362	2.938359000
192.168.1.50	192.168.1.40	12363	2.938643000
192.168.1.50	192.168.1.40	12419	2.947803000
192.168.1.50	192.168.1.40	12421	2.947955000
192.168.1.50	192.168.1.40	12422	2.947959000
192.168.1.50	192.168.1.40	12425	2.948203000
192.168.1.50	192.168.1.40	12522	2.968375000
192.168.1.50	192.168.1.40	12554	2.978710000
192.168.1.50	192.168.1.40	12555	2.978716000
192.168.1.50	192.168.1.40	12557	2.978993000
192.168.1.50	192.168.1.40	12714	3.018409000
192.168.1.50	192.168.1.40	12719	3.018634000
192.168.1.50	192.168.1.40	12726	3.018926000
192.168.1.50	192.168.1.40	12727	3.018930000
192.168.1.50	192.168.1.40	12746	3.024408000
192.168.1.50	192.168.1.40	12748	3.024418000
192.168.1.50	192.168.1.40	12749	3.024576000
192.168.1.50	192.168.1.40	12754	3.029148000
192.168.1.50	192.168.1.40	12941	3.069000000
192.168.1.50	192.168.1.40	12942	3.069005000
192.168.1.50	192.168.1.40	12943	3.069008000
192.168.1.50	192.168.1.40	13008	3.078993000
192.168.1.50	192.168.1.40	13009	3.078997000
