ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.40	192.168.1.50	179	1.027380000
192.168.1.40	192.168.1.50	180	1.027759000
192.168.1.40	192.168.1.50	203	1.047119000
192.168.1.40	192.168.1.50	204	1.047127000
192.168.1.40	192.168.1.50	254	1.082532000
192.168.1.40	192.168.1.50	255	1.082545000
192.168.1.40	192.168.1.50	280	1.093260000
192.168.1.40	192.168.1.50	281	1.093272000
192.168.1.40	192.168.1.50	408	1.149044000
192.168.1.40	192.168.1.50	409	1.149054000
192.168.1.40	192.168.1.50	410	1.149061000
192.168.1.40	192.168.1.50	411	1.149184000
192.168.1.40	192.168.1.50	424	1.162166000
192.168.1.40	192.168.1.50	455	1.179024000
192.168.1.40	192.168.1.50	456	1.179033000
192.168.1.40	192.168.1.50	457	1.179262000
192.168.1.40	192.168.1.50	460	1.179594000
192.168.1.40	192.168.1.50	613	1.215646000
192.168.1.40	192.168.1.50	614	1.215656000
192.168.1.40	192.168.1.50	615	1.215664000
192.168.1.40	192.168.1.50	616	1.215671000
192.168.1.40	192.168.1.50	620	1.219515000
192.168.1.40	192.168.1.50	630	1.224485000
192.168.1.40	192.168.1.50	633	1.224949000
192.168.1.40	192.168.1.50	634	1.224958000
192.168.1.40	192.168.1.50	862	1.266338000
192.168.1.40	192.168.1.50	863	1.266347000
192.168.1.40	192.168.1.50	894	1.270663000
192.168.1.40	192.168.1.50	895	1.271137000
192.168.1.40	192.168.1.50	896	1.271145000
192.168.1.40	192.168.1.50	897	1.271369000
192.168.1.40	192.168.1.50	987	1.291749000
192.168.1.40	192.168.1.50	988	1.291762000
192.168.1.40	192.168.1.50	1197	1.326986000
192.168.1.40	192.168.1.50	1198	1.327239000
192.168.1.40	192.168.1.50	1213	1.331552000
192.168.1.40	192.168.1.50	1226	1.341628000
192.168.1.40	192.168.1.50	1227	1.341788000
192.168.1.40	192.168.1.50	1228	1.341793000
192.168.1.40	192.168.1.50	1229	1.341947000
192.168.1.40	192.168.1.50	1315	1.357099000
192.168.1.40	192.168.1.50	1316	1.357103000
192.168.1.40	192.168.1.50	1420	1.377273000
192.168.1.40	192.168.1.50	1447	1.382738000
192.168.1.40	192.168.1.50	1544	1.392591000
192.168.1.40	192.168.1.50	1545	1.392599000
192.168.1.40	192.168.1.50	1651	1.412762000
192.168.1.40	192.168.1.50	1652	1.412767000
192.168.1.40	192.168.1.50	1653	1.413575000
192.168.1.40	192.168.1.50	1654	1.413580000
192.168.1.40	192.168.1.50	1660	1.417863000
192.168.1.40	192.168.1.50	1765	1.438679000
192.168.1.40	192.168.1.50	1791	1.443983000
192.168.1.40	192.168.1.50	1880	1.453808000
192.168.1.40	192.168.1.50	1888	1.459331000
192.168.1.40	192.168.1.50	1949	1.469574000
192.168.1.40	192.168.1.50	1951	1.469585000
192.168.1.40	192.168.1.50	1952	1.469590000
192.168.1.40	192.168.1.50	1955	1.469747000
192.168.1.40	192.168.1.50	2008	1.484630000
192.168.1.40	192.168.1.50	2100	1.499481000
192.168.1.40	192.168.1.50	2101	1.499486000
192.168.1.40	192.168.1.50	2103	1.500000000
192.168.1.40	192.168.1.50	2262	1.525959000
192.168.1.40	192.168.1.50	2263	1.525967000
192.168.1.40	192.168.1.50	2264	1.525970000
192.168.1.40	192.168.1.50	2265	1.525974000
192.168.1.40	192.168.1.50	2339	1.540018000
192.168.1.40	192.168.1.50	2340	1.540022000
192.168.1.40	192.168.1.50	2341	1.540228000
192.168.1.40	192.168.1.50	2342	1.540438000
192.168.1.40	192.168.1.50	2757	1.591474000
192.168.1.40	192.168.1.50	2809	1.595909000
192.168.1.40	192.168.1.50	2812	1.595916000
192.168.1.40	192.168.1.50	2815	1.596076000
192.168.1.40	192.168.1.50	2816	1.596081000
192.168.1.40	192.168.1.50	2862	1.600925000
192.168.1.40	192.168.1.50	2864	1.601161000
192.168.1.40	192.168.1.50	2865	1.601950000
192.168.1.40	192.168.1.50	3390	1.667354000
192.168.1.40	192.168.1.50	3492	1.677038000
192.168.1.40	192.168.1.50	3493	1.677045000
192.168.1.40	192.168.1.50	3499	1.677739000
192.168.1.40	192.168.1.50	3501	1.677761000
192.168.1.40	192.168.1.50	3505	1.677935000
192.168.1.40	192.168.1.50	3570	1.687646000
192.168.1.40	192.168.1.50	3571	1.687653000
192.168.1.40	192.168.1.50	3985	1.743539000
192.168.1.40	192.168.1.50	4093	1.749338000
192.168.1.40	192.168.1.50	4128	1.753232000
192.168.1.40	192.168.1.50	4129	1.753853000
192.168.1.40	192.168.1.50	4130	1.753858000
192.168.1.40	192.168.1.50	4131	1.754026000
192.168.1.40	192.168.1.50	4264	1.774060000
192.168.1.40	192.168.1.50	4265	1.774068000
192.168.1.40	192.168.1.50	4719	1.824109000
192.168.1.40	192.168.1.50	4811	1.835082000
192.168.1.40	192.168.1.50	4846	1.839822000
192.168.1.40	192.168.1.50	4849	1.840069000
192.168.1.40	192.168.1.50	4910	1.849939000
192.168.1.40	192.168.1.50	4911	1.849945000
192.168.1.40	192.168.1.50	5021	1.864999000
192.168.1.40	192.168.1.50	5024	1.865011000
192.168.1.40	192.168.1.50	5306	1.895513000
192.168.1.40	192.168.1.50	5391	1.906149000
192.168.1.40	192.168.1.50	5556	1.921014000
192.168.1.40	192.168.1.50	5560	1.921180000
192.168.1.40	192.168.1.50	5666	1.936764000
192.168.1.40	192.168.1.50	5667	1.936770000
192.168.1.40	192.168.1.50	5733	1.947253000
192.168.1.40	192.168.1.50	5734	1.947260000
192.168.1.40	192.168.1.50	5925	1.982470000
192.168.1.40	192.168.1.50	5960	1.987129000
192.168.1.40	192.168.1.50	5965	1.987302000
192.168.1.40	192.168.1.50	5972	1.987968000
192.168.1.40	192.168.1.50	6054	2.018141000
192.168.1.40	192.168.1.50	6055	2.018153000
192.168.1.40	192.168.1.50	6056	2.018160000
192.168.1.40	192.168.1.50	6057	2.018231000
192.168.1.40	192.168.1.50	6233	2.043597000
192.168.1.40	192.168.1.50	6350	2.059075000
192.168.1.40	192.168.1.50	6351	2.059086000
192.168.1.40	192.168.1.50	6352	2.059093000
192.168.1.40	192.168.1.50	6601	2.104253000
192.168.1.40	192.168.1.50	6602	2.104260000
192.168.1.40	192.168.1.50	6736	2.119370000
192.168.1.40	192.168.1.50	6740	2.119586000
192.168.1.40	192.168.1.50	6938	2.144652000
192.168.1.40	192.168.1.50	7093	2.159903000
192.168.1.40	192.168.1.50	7094	2.159909000
192.168.1.40	192.168.1.50	7095	2.160391000
192.168.1.40	192.168.1.50	7335	2.190607000
192.168.1.40	192.168.1.50	7336	2.190614000
192.168.1.40	192.168.1.50	7435	2.200559000
192.168.1.40	192.168.1.50	7436	2.200566000
192.168.1.40	192.168.1.50	7590	2.220563000
192.168.1.40	192.168.1.50	7704	2.232019000
192.168.1.40	192.168.1.50	7706	2.232036000
192.168.1.40	192.168.1.50	7764	2.235989000
192.168.1.40	192.168.1.50	8021	2.266500000
192.168.1.40	192.168.1.50	8022	2.266505000
192.168.1.40	192.168.1.50	8133	2.282106000
192.168.1.40	192.168.1.50	8134	2.282113000
192.168.1.40	192.168.1.50	8248	2.297644000
192.168.1.40	192.168.1.50	8418	2.312996000
192.168.1.40	192.168.1.50	8423	2.313195000
192.168.1.40	192.168.1.50	8461	2.317257000
192.168.1.40	192.168.1.50	8732	2.348069000
192.168.1.40	192.168.1.50	8733	2.348761000
192.168.1.40	192.168.1.50	8852	2.368731000
192.168.1.40	192.168.1.50	8853	2.368738000
192.168.1.40	192.168.1.50	8899	2.373507000
192.168.1.40	192.168.1.50	9064	2.389069000
192.168.1.40	192.168.1.50	9065	2.389074000
192.168.1.40	192.168.1.50	9101	2.393795000
192.168.1.40	192.168.1.50	9423	2.429033000
192.168.1.40	192.168.1.50	9428	2.429178000
192.168.1.40	192.168.1.50	9566	2.450059000
192.168.1.40	192.168.1.50	9567	2.450354000
192.168.1.40	192.168.1.50	9568	2.450360000
192.168.1.40	192.168.1.50	9767	2.470138000
192.168.1.40	192.168.1.50	9768	2.470145000
192.168.1.40	192.168.1.50	9796	2.475013000
192.168.1.40	192.168.1.50	10027	2.500247000
